optimal_depth,search_name,solution_depth,nodes_expanded
4 , DFS Graph , 28247 , 28247
5 , DFS Graph , 20818 , 20818
6 , DFS Graph , 5617 , 5617
7 , DFS Graph , 15326 , 15326
8 , DFS Graph , 17661 , 17661
9 , DFS Graph , 25174 , 25174
10 , DFS Graph , 35465 , 35465
11 , DFS Graph , 2555 , 2555
12 , DFS Graph , 22727 , 22727
13 , DFS Graph , 1337 , 1337
14 , DFS Graph , 2205 , 2205
1 , DFS Graph , 1 , 1
2 , DFS Graph , 5831 , 5831
3 , DFS Graph , 29 , 29
4 , DFS Graph , 24887 , 24887
5 , DFS Graph , 13 , 13
6 , DFS Graph , 145225 , 145225
7 , DFS Graph , 6353 , 6353
8 , DFS Graph , 1017 , 1017
9 , DFS Graph , 51497 , 51497
10 , DFS Graph , 44840 , 44840
11 , DFS Graph , 29520 , 29520
12 , DFS Graph , 13476 , 13476
13 , DFS Graph , 158002 , 158002
14 , DFS Graph , 4401 , 4401
1 , DFS Graph , 7977 , 7977
2 , DFS Graph , 11 , 11
3 , DFS Graph , 21373 , 21373
4 , DFS Graph , 20174 , 20174
5 , DFS Graph , 126183 , 126183
6 , DFS Graph , 20860 , 20860
7 , DFS Graph , 13331 , 13331
8 , DFS Graph , 10821 , 10821
9 , DFS Graph , 71589 , 71589
10 , DFS Graph , 24363 , 24363
11 , DFS Graph , 19885 , 19885
12 , DFS Graph , 7443 , 7443
13 , DFS Graph , 36717 , 36717
14 , DFS Graph , 14179 , 14179
1 , DFS Graph , 42043 , 42043
2 , DFS Graph , 10 , 10
3 , DFS Graph , 337 , 337
4 , DFS Graph , 14264 , 14264
5 , DFS Graph , 168 , 168
6 , DFS Graph , 110600 , 110600
7 , DFS Graph , 122 , 122
8 , DFS Graph , 73013 , 73013
9 , DFS Graph , 63123 , 63123
10 , DFS Graph , 49307 , 49307
11 , DFS Graph , 24441 , 24441
12 , DFS Graph , 119548 , 119548
13 , DFS Graph , 261 , 261
14 , DFS Graph , 816 , 816
1 , DFS Graph , 7453 , 7453
2 , DFS Graph , 7 , 7
3 , DFS Graph , 5325 , 5325
4 , DFS Graph , 11272 , 11272
5 , DFS Graph , 71148 , 71148
6 , DFS Graph , 7830 , 7830
7 , DFS Graph , 52693 , 52693
8 , DFS Graph , 20485 , 20485
9 , DFS Graph , 113392 , 113392
10 , DFS Graph , 37558 , 37558
11 , DFS Graph , 32707 , 32707
12 , DFS Graph , 24739 , 24739
13 , DFS Graph , 4755 , 4755
14 , DFS Graph , 24392 , 24392
1 , DFS Graph , 7 , 7
2 , DFS Graph , 12 , 12
3 , DFS Graph , 5 , 5
4 , DFS Graph , 4364 , 4364
5 , DFS Graph , 63 , 63
6 , DFS Graph , 2000 , 2000
7 , DFS Graph , 7965 , 7965
8 , DFS Graph , 65043 , 65043
9 , DFS Graph , 27130 , 27130
10 , DFS Graph , 3244 , 3244
11 , DFS Graph , 3038 , 3038
12 , DFS Graph , 48616 , 48616
13 , DFS Graph , 43787 , 43787
14 , DFS Graph , 1801 , 1801
1 , DFS Graph , 3 , 3
2 , DFS Graph , 59768 , 59768
3 , DFS Graph , 5608 , 5608
4 , DFS Graph , 22490 , 22490
5 , DFS Graph , 19456 , 19456
6 , DFS Graph , 68075 , 68075
7 , DFS Graph , 39971 , 39971
8 , DFS Graph , 3515 , 3515
9 , DFS Graph , 38095 , 38095
10 , DFS Graph , 2421 , 2421
11 , DFS Graph , 56004 , 56004
12 , DFS Graph , 36106 , 36106
13 , DFS Graph , 17340 , 17340
14 , DFS Graph , 12321 , 12321
1 , DFS Graph , 3 , 3
2 , DFS Graph , 72093 , 72093
3 , DFS Graph , 36295 , 36295
4 , DFS Graph , 88781 , 88781
5 , DFS Graph , 11 , 11
6 , DFS Graph , 12856 , 12856
7 , DFS Graph , 8711 , 8711
8 , DFS Graph , 18209 , 18209
9 , DFS Graph , 16182 , 16182
10 , DFS Graph , 2175 , 2175
11 , DFS Graph , 30885 , 30885
12 , DFS Graph , 4250 , 4250
13 , DFS Graph , 116833 , 116833
14 , DFS Graph , 45139 , 45139
1 , BFS_Graph , 1 , 1
2 , BFS_Graph , 2 , 7
3 , BFS_Graph , 3 , 9
4 , BFS_Graph , 4 , 39
5 , BFS_Graph , 5 , 35
6 , BFS_Graph , 6 , 99
7 , BFS_Graph , 7 , 166
8 , BFS_Graph , 8 , 381
9 , BFS_Graph , 9 , 575
10 , BFS_Graph , 10 , 1184
11 , BFS_Graph , 11 , 2224
12 , BFS_Graph , 12 , 2634
13 , BFS_Graph , 13 , 5357
14 , BFS_Graph , 14 , 2953
1 , BFS_Graph , 1 , 3
2 , BFS_Graph , 2 , 7
3 , BFS_Graph , 3 , 9
4 , BFS_Graph , 4 , 27
5 , BFS_Graph , 5 , 49
6 , BFS_Graph , 6 , 156
7 , BFS_Graph , 7 , 206
8 , BFS_Graph , 8 , 400
9 , BFS_Graph , 9 , 585
10 , BFS_Graph , 10 , 1373
11 , BFS_Graph , 11 , 2211
12 , BFS_Graph , 12 , 3225
13 , BFS_Graph , 13 , 4690
14 , BFS_Graph , 14 , 3742
1 , BFS_Graph , 1 , 4
2 , BFS_Graph , 2 , 8
3 , BFS_Graph , 3 , 7
4 , BFS_Graph , 4 , 19
5 , BFS_Graph , 5 , 41
6 , BFS_Graph , 6 , 131
7 , BFS_Graph , 7 , 191
8 , BFS_Graph , 8 , 341
9 , BFS_Graph , 9 , 571
10 , BFS_Graph , 10 , 1283
11 , BFS_Graph , 11 , 2235
12 , BFS_Graph , 12 , 2875
13 , BFS_Graph , 13 , 6180
